date,benchmark_hs300,global_60_40,classic_all_weather,dynamic_risk_parity,smart_all_weather
2018-10-22,976895.0167572104,1377344.0132117064,1300304.6538145754,1334984.9090627772,1318077.4643734887
2018-10-23,936633.1385029807,1354959.6004963785,1282835.9540388423,1325272.537271516,1309544.4895361555
2018-10-24,938414.6602504599,1358127.5877957682,1285338.6542631267,1326122.4655296218,1310350.314763667
2018-10-25,944115.481999648,1347044.575109877,1281474.3544874287,1321430.5938370998,1306215.4400560297
2018-10-26,932357.6037505455,1346678.7624387057,1280131.4547117485,1321167.4221939528,1306011.7654132475
2018-10-29,897796.5255031523,1331529.7497822556,1266033.0549360858,1314382.3506001856,1299846.6908353262
2018-10-30,910979.6472574683,1333302.1371405278,1268621.3551604408,1315075.5790558017,1300352.5163222707
2018-10-31,924162.7690134939,1345507.5245135236,1275846.8553848134,1319431.307560805,1303960.441874086
2018-11-01,932357.6907712293,1350829.7119012442,1279626.6556092037,1323826.4361151988,1308056.267490777
2018-11-02,980458.2125306744,1372088.6993036906,1297963.3558336117,1334384.4647189877,1317341.6931723491
2018-11-05,965137.3342918297,1362312.6867208641,1291339.6560580372,1330667.3933721757,1314124.1189188075
2018-11-06,957655.0560546949,1362664.4741527655,1290881.9562824804,1332613.7220747664,1316033.8447301572
2018-11-07,948034.9778192703,1362931.8615993964,1289532.3565069411,1333582.1508267634,1317105.870606403
2018-11-08,946966.0995855562,1372548.249060758,1293543.2567314194,1337640.8796281707,1320803.7965475505
2018-11-09,932357.8213535526,1362424.636536851,1284451.4569559158,1331570.2084789926,1315045.8225536044
2018-11-12,945184.6431232597,1369450.2500276768,1290021.7571804293,1334416.0082192328,1318487.3429045698
2018-11-13,957298.8648946773,1362567.651092505,1288113.7574049605,1330368.3465725596,1314657.4463892544
2018-11-14,943046.886667806,1357054.5521574167,1282956.6576295097,1329443.8849839098,1313596.0498742128
2018-11-15,958367.8084426458,1361476.4532224122,1289801.8578540762,1334765.523453288,1319012.1533594453
2018-11-16,961930.8302191966,1364833.2542874913,1292665.5580786606,1337483.461980699,1321820.8568449514
2018-11-19,975113.9519974589,1371685.6553526544,1299094.1583032627,1340503.6005661471,1324938.5603307313
2018-11-20,949104.0737774324,1349408.356417901,1283447.1585278823,1330033.6392096367,1313749.1638167854
2018-11-21,950172.9955591176,1345811.5574832312,1281972.6587525194,1328552.9779111727,1312200.8673031135
2018-11-22,946966.3173425146,1343256.2585486453,1280095.9589771745,1327665.7166707593,1311205.1707897154
2018-11-23,916680.8391276234,1326671.3596141431,1265310.659201847,1317651.5554884013,1300540.7742765911
2018-11-26,918462.3609144442,1329444.8606797247,1266659.259426537,1319378.6943641035,1302478.477763741
2018-11-27,917393.482702977,1332381.8617453899,1267255.059651245,1320890.8332978701,1304120.4812511653
2018-11-28,934495.9044932221,1341628.8628111389,1273489.4598759706,1324818.072289706,1308573.484738863
2018-11-29,923094.3262851797,1343792.3638769716,1273725.2601007135,1326616.411339615,1309864.8882268353
2018-11-30,934852.2480788497,1350156.164942888,1279041.7603254747,1329755.0504476028,1313210.4917150817
2018-12-03,964781.4698742324,1373467.3660088882,1295762.060550253,1340085.489613673,1324452.7952036022
2018-12-04,966562.991671328,1369284.967074972,1295187.1607750491,1338847.7288378305,1323055.5986923964
2018-12-05,961218.5134701362,1358936.6681411401,1290409.4609998632,1335236.9681200797,1319105.002181465
2018-12-06,937346.4352706578,1345337.1692073918,1281008.6612246947,1329310.5074604256,1312350.205670808
2018-12-07,934852.3570728924,1349982.570273727,1283584.4614495435,1331240.2468588727,1314293.409160425
2018-12-10,924163.3788768403,1335668.164140146,1277504.4381544106,1327240.5049954252,1310141.8614903165
2018-12-11,928795.3006825018,1341851.7440811284,1281096.9415522784,1330442.075494953,1312955.4865198233
2018-12-12,932714.6224898768,1348273.9240362511,1284607.0449504133,1332102.3460864648,1314257.9116063067
2018-12-13,952311.1442989657,1356673.7040055154,1291656.448348815,1334797.2167699672,1316555.8367497707
2018-12-14,932002.0661097683,1344747.583988923,1282378.1517474842,1327955.2875454675,1310290.5619502207
2018-12-17,930576.8879222849,1342883.2639864744,1282484.3551464204,1327323.5584129735,1309940.98720766
2018-12-18,916324.9097365157,1329781.2439981708,1275171.8585456235,1323040.229372492,1306501.9125220936
2018-12-19,904567.0315524606,1325620.7240240134,1272065.1619450937,1322517.4004240301,1306267.5378935263
2018-12-20,896372.1533701201,1311312.3040640038,1263152.5653448312,1316290.0715675955,1300700.363321962
2018-12-21,882476.4751894942,1306632.584118142,1260504.4687448358,1317502.842803195,1302254.7888074056
2018-12-24,884970.5970105828,1299252.06418643,1258874.8721451077,1315460.1141308357,1300824.8143498613
2018-12-25,878200.9188333862,1281885.5442688686,1250009.8755456468,1308747.3855505255,1295290.139949334
2018-12-26,872143.8406579046,1279889.024365459,1248450.178946453,1308233.257062271,1294863.9656058275
2018-12-27,869649.7624841381,1297429.4044762023,1255581.9823475264,1314514.9286660799,1299955.791319347
2018-12-28,872143.8843120869,1303063.5846010996,1261304.685748867,1320209.500361959,1305687.8170898966
2019-01-02,857179.3061417508,1291709.164740152,1251782.289150475,1314963.572149916,1300782.3429174807
2019-01-03,857179.3279731303,1290001.0448933605,1252888.8925523504,1317636.1440299577,1303756.468802104
2019-01-04,884614.4498062256,1300862.0250607266,1262344.2959544933,1322559.7160020918,1308230.1947437709
2019-01-07,889246.3716410365,1315944.105242251,1270795.7993569034,1328401.1880663247,1313132.420742486
2019-01-08,889246.3934775633,1321589.885437935,1272776.0027595807,1329289.2602226648,1313599.7467982534
2019-01-09,897441.315315806,1327359.1143877795,1276335.3570025258,1331426.7102111185,1315325.021171078
2019-01-10,898510.237155765,1322728.4171079493,1274183.0578871565,1329980.6150763286,1314170.1221707705
2019-01-11,906705.1589974404,1328154.8198283326,1276988.9587718572,1330499.0199419213,1314248.3231705416
2019-01-14,897085.080840832,1321651.9225489297,1272848.459656627,1326768.5248078967,1310936.2241703912
2019-01-15,918106.8026859403,1331477.0252697407,1280589.7605414663,1331584.5296742541,1315094.1251703193
2019-01-16,918106.8245327652,1335673.0279907654,1283056.9614263752,1333788.2345409938,1317131.026170326
